Groupe	Nom vernac	Taxon	Altitude	Coordx	Coordy	Année	famille	Site
Moose		Sphagnum magellanicum aggr.				2018		LT
Moose		Sphagnum capillifolium				2018		LT
Moose		Sphagnum rubellum				2018		LT
Moose		Sphagnum angustifolium				2018		LT
Moose		Sphagnum magellanicum aggr.				2018		LE
Moose		Sphagnum angustifolium				2018		LE
Moose		Straminergon stramineum				2018		LE
Moose		Aulacomnium palustre				2018		LE
Moose		Sanionia uncinata				2018		LE
Moose		Sphagnum subnitens				2018		CB
Moose		Aulacomnium palustre				2018		CB
Moose		Calliergonella cuspidata				2018		CB
Moose		Sphagnum magellanicum aggr.				2018		LM
Moose		Sphagnum angustifolium				2018		LM
Moose		Sphagnum magellanicum aggr.				2018		LV
Moose		Sphagnum angustifolium				2018		LV
Moose		Aulacomnium palustre				2018		LV
